Format Version,1.0,
Take Name,MS010MPT008,
Capture Frame Rate,120.00,
Export Frame Rate,120.00,
Capture Start Time,25 Mar 2022 13:16:21 +0100,
Total Frames In Take,23547,
Total Exported Frames,23547,
Coordinate Space,Local,
Device Name,NIDAQ USB-6210 31683603,
Device Type,1,
Device Channel Count,6,
Mocap Rate,120.00,
Mocap Rate Multiple,1.00

MocapFrame, MocapTime, DeviceFrame,Dev2/ai0,Dev2/ai1,Dev2/ai2,Dev2/ai3,Dev2/ai4,Dev2/ai5
0,0.000000,0,-0.757774,0.071738,-0.017397,-0.109163,0.223694,-0.234807
1,0.008333,1,-0.754814,0.070093,-0.019370,-0.110150,0.223036,-0.233820
2,0.016667,2,-0.754814,0.070093,-0.019699,-0.109492,0.222708,-0.233820
3,0.025000,3,-0.758103,0.071738,-0.019042,-0.108505,0.223365,-0.234807
4,0.033333,4,-0.759419,0.071409,-0.015752,-0.109492,0.224023,-0.233820
5,0.041667,5,-0.758761,0.073053,-0.013779,-0.108505,0.222708,-0.235465
6,0.050000,6,-0.757116,0.072396,-0.013450,-0.108505,0.221063,-0.236122
7,0.058333,7,-0.756459,0.071080,-0.011477,-0.107847,0.221392,-0.237109
8,0.066667,8,-0.759419,0.070751,-0.009503,-0.109821,0.220734,-0.238425
9,0.075000,9,-0.762050,0.070751,-0.008516,-0.109163,0.220734,-0.238754
10,0.083333,10,-0.762050,0.071409,-0.009832,-0.109163,0.222379,-0.237767
11,0.091667,11,-0.759090,0.071738,-0.012134,-0.108834,0.221392,-0.237109
12,0.100000,12,-0.757116,0.074369,-0.013450,-0.109492,0.220076,-0.235465
13,0.108333,13,-0.754156,0.073382,-0.015095,-0.109821,0.220076,-0.233162
14,0.116667,14,-0.750867,0.072724,-0.020028,-0.109492,0.221392,-0.231847
15,0.125000,15,-0.750209,0.074369,-0.022002,-0.107518,0.222050,-0.232833
16,0.133333,16,-0.752183,0.073382,-0.022331,-0.109492,0.224023,-0.233491
17,0.141667,17,-0.755472,0.072724,-0.022002,-0.109163,0.227312,-0.233820
