Format Version,1.0,
Take Name,MS010MPT004,
Capture Frame Rate,120.00,
Export Frame Rate,120.00,
Capture Start Time,25 Mar 2022 12:58:56 +0100,
Total Frames In Take,7892,
Total Exported Frames,7892,
Coordinate Space,Local,
Device Name,NIDAQ USB-6210 31683603,
Device Type,1,
Device Channel Count,6,
Mocap Rate,120.00,
Mocap Rate Multiple,1.00

MocapFrame, MocapTime, DeviceFrame,Dev2/ai0,Dev2/ai1,Dev2/ai2,Dev2/ai3,Dev2/ai4,Dev2/ai5
0,0.000000,0,-0.744618,0.076671,-0.009503,-0.126595,0.188830,-0.223295
1,0.008333,1,-0.744618,0.077329,-0.009503,-0.126595,0.189488,-0.223295
2,0.016667,2,-0.744947,0.075685,-0.009832,-0.126595,0.189817,-0.223953
3,0.025000,3,-0.744947,0.076014,-0.009174,-0.126924,0.189159,-0.223624
4,0.033333,4,-0.743960,0.078974,-0.009832,-0.126924,0.188830,-0.223953
5,0.041667,5,-0.744289,0.077987,-0.010161,-0.125937,0.189488,-0.223624
6,0.050000,6,-0.744618,0.077658,-0.009832,-0.125937,0.189488,-0.223624
7,0.058333,7,-0.744618,0.077987,-0.009503,-0.126595,0.189159,-0.223624
8,0.066667,8,-0.744947,0.079303,-0.009832,-0.125937,0.188830,-0.223624
9,0.075000,9,-0.744618,0.076014,-0.009832,-0.126266,0.189159,-0.223295
10,0.083333,10,-0.744947,0.077658,-0.009832,-0.126595,0.189159,-0.222966
11,0.091667,11,-0.744618,0.077000,-0.009503,-0.126266,0.188830,-0.222966
12,0.100000,12,-0.744618,0.075685,-0.009503,-0.126595,0.188501,-0.223295
13,0.108333,13,-0.744289,0.076342,-0.009503,-0.126595,0.188830,-0.223295
14,0.116667,14,-0.744289,0.077000,-0.010161,-0.126924,0.189159,-0.223295
15,0.125000,15,-0.744618,0.077658,-0.009503,-0.126595,0.189159,-0.222966
16,0.133333,16,-0.743960,0.077658,-0.009503,-0.126595,0.188830,-0.223624
17,0.141667,17,-0.744618,0.077329,-0.009503,-0.126595,0.189159,-0.223624
18,0.150000,18,-0.744289,0.077329,-0.009832,-0.126266,0.188830,-0.223295
19,0.158333,19,-0.743960,0.076342,-0.009503,-0.125937,0.188830,-0.223624
20,0.166667,20,-0.744289,0.077658,-0.009832,-0.126266,0.189159,-0.223624
21,0.175000,21,-0.744618,0.077329,-0.010161,-0.126595,0.188830,-0.223953
22,0.183333,22,-0.744289,0.078316,-0.008845,-0.126595,0.189488,-0.223295
23,0.191667,23,-0.744618,0.077329,-0.009832,-0.126266,0.189159,-0.223624
24,0.200000,24,-0.744289,0.076671,-0.010161,-0.126595,0.188830,-0.223624
25,0.208333,25,-0.744289,0.077987,-0.009832,-0.125937,0.188830,-0.223624
26,0.216667,26,-0.744947,0.076014,-0.009503,-0.126595,0.189488,-0.222966
27,0.225000,27,-0.745276,0.077329,-0.009503,-0.125937,0.189488,-0.223295
28,0.233333,28,-0.744947,0.076014,-0.009832,-0.125609,0.189159,-0.223624
29,0.241667,29,-0.743631,0.078645,-0.009174,-0.125937,0.189159,-0.223953
30,0.250000,30,-0.743960,0.077000,-0.009174,-0.126266,0.188830,-0.223624
31,0.258333,31,-0.743960,0.077658,-0.009503,-0.126595,0.188830,-0.223624
32,0.266667,32,-0.744618,0.077000,-0.009503,-0.126595,0.188501,-0.223953
33,0.275000,33,-0.744618,0.075685,-0.009832,-0.126595,0.188830,-0.223953
34,0.283333,34,-0.744618,0.078316,-0.008845,-0.126266,0.189159,-0.223624
35,0.291667,35,-0.744289,0.077329,-0.009832,-0.126266,0.188501,-0.223953
36,0.300000,36,-0.744289,0.077658,-0.009503,-0.126595,0.189488,-0.223624
37,0.308333,37,-0.744618,0.077000,-0.010161,-0.126595,0.188501,-0.223624
38,0.316667,38,-0.744618,0.077658,-0.009174,-0.126924,0.189159,-0.223624
39,0.325000,39,-0.744289,0.077000,-0.009832,-0.126266,0.188830,-0.223624
40,0.333333,40,-0.744289,0.076671,-0.009832,-0.126266,0.188830,-0.223953
41,0.341667,41,-0.744947,0.077329,-0.009503,-0.126595,0.188830,-0.223624
42,0.350000,42,-0.745605,0.077000,-0.009503,-0.126924,0.189159,-0.222637
43,0.358333,43,-0.743960,0.077658,-0.009503,-0.126595,0.188830,-0.222966
44,0.366667,44,-0.743960,0.077000,-0.009832,-0.125937,0.188830,-0.223624
45,0.375000,45,-0.743631,0.077000,-0.009832,-0.126266,0.188501,-0.223953
46,0.383333,46,-0.745276,0.077329,-0.009174,-0.126595,0.188830,-0.223624
47,0.391667,47,-0.745605,0.076671,-0.009503,-0.126595,0.189159,-0.223624
48,0.400000,48,-0.744947,0.077000,-0.009832,-0.126595,0.188501,-0.223953
49,0.408333,49,-0.743631,0.077658,-0.010161,-0.126266,0.188501,-0.223953
50,0.416667,50,-0.743631,0.077000,-0.010490,-0.126595,0.188501,-0.223624
51,0.425000,51,-0.744947,0.077658,-0.009503,-0.126266,0.188830,-0.223295
52,0.433333,52,-0.744947,0.076014,-0.009174,-0.126266,0.189159,-0.223295
53,0.441667,53,-0.744947,0.077658,-0.009174,-0.126924,0.189488,-0.223624
