Format Version,1.23,Take Name,MS010MPT005,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-03-25 01.00.26.982 PM,Total Frames in Take,9772,Total Exported Frames,9772,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S
,ID,"FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.032976,0.009707,-0.028071,-0.019523,0.095038,0.001345
1,0.008333,0.043758,0.011223,-0.028654,-0.019534,0.095038,0.001355
2,0.016667,0.041269,0.010438,-0.030592,-0.019534,0.095041,0.001354
3,0.025000,0.049707,0.006688,-0.026863,-0.019534,0.095054,0.001355
4,0.033333,0.047555,0.002415,-0.027937,-0.019530,0.095055,0.001359
5,0.041667,0.044806,0.009545,-0.022992,-0.019531,0.095057,0.001352
6,0.050000,0.040707,0.009845,-0.025120,-0.019535,0.095053,0.001355
7,0.058333,,,,,,
8,0.066667,0.042236,0.011752,-0.031415,-0.019519,0.095029,0.001341
9,0.075000,0.046084,0.014834,-0.028277,-0.019517,0.095033,0.001346
10,0.083333,0.045334,0.008743,-0.035923,-0.019520,0.095029,0.001333
11,0.091667,0.044206,0.008501,-0.026719,-0.019527,0.095035,0.001341
12,0.100000,0.040334,0.006903,-0.036368,-0.019524,0.095027,0.001348
13,0.108333,0.042037,0.013757,-0.030915,-0.019527,0.095028,0.001344
14,0.116667,0.043286,0.009859,-0.035958,-0.019533,0.095031,0.001340
15,0.125000,0.045150,0.010148,-0.038214,-0.019527,0.095032,0.001343
16,0.133333,0.048257,0.011745,-0.031807,-0.019526,0.095030,0.001334
17,0.141667,0.050456,0.011597,-0.035867,-0.019523,0.095032,0.001329
18,0.150000,0.048059,0.014364,-0.029887,-0.019524,0.095030,0.001340
19,0.158333,0.050929,0.018474,-0.027908,-0.019505,0.095025,0.001317
20,0.166667,0.043883,0.009619,-0.037920,-0.019515,0.095020,0.001326
21,0.175000,0.040269,0.013088,-0.034409,-0.019514,0.095017,0.001333
22,0.183333,0.045073,0.017018,-0.035302,-0.019527,0.095024,0.001330
23,0.191667,0.046201,0.012574,-0.037084,-0.019523,0.095035,0.001334
24,0.200000,0.043162,0.009505,-0.036912,-0.019528,0.095025,0.001338
25,0.208333,0.040328,0.010808,-0.038416,-0.019537,0.095023,0.001332
26,0.216667,0.040289,0.011382,-0.036131,-0.019533,0.095017,0.001323
27,0.225000,0.043873,0.016310,-0.033622,-0.019525,0.095018,0.001327
28,0.233333,0.041499,0.007034,-0.036449,-0.019534,0.095020,0.001346
29,0.241667,0.041265,0.011935,-0.031942,-0.019521,0.095020,0.001330
30,0.250000,0.041557,0.015132,-0.031962,-0.019530,0.095029,0.001337
31,0.258333,0.042862,0.010786,-0.031382,-0.019521,0.095020,0.001347
32,0.266667,0.039083,0.006064,-0.035747,-0.019513,0.095018,0.001336
33,0.275000,0.041370,0.010406,-0.032799,-0.019517,0.095021,0.001341
34,0.283333,0.050721,0.023555,-0.035606,-0.019507,0.095026,0.001325
35,0.291667,0.047119,0.013480,-0.033695,-0.019496,0.095025,0.001343
36,0.300000,0.039073,0.013904,-0.026314,-0.019510,0.095034,0.001336
37,0.308333,0.046981,0.020206,-0.036995,-0.019502,0.095029,0.001337
38,0.316667,0.039958,0.012971,-0.035300,-0.019505,0.095040,0.001332
39,0.325000,0.040266,0.014701,-0.033688,-0.019512,0.095033,0.001339
40,0.333333,0.040688,0.015808,-0.028445,-0.019515,0.095041,0.001323
41,0.341667,0.046192,0.007828,-0.040209,-0.019511,0.095031,0.001331
42,0.350000,0.034865,0.012854,-0.030028,-0.019532,0.095033,0.001337
43,0.358333,0.038595,0.006808,-0.031553,-0.019518,0.095039,0.001341
44,0.366667,0.044821,0.013329,-0.035835,-0.019509,0.095041,0.001332
