timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1925663062,2.1556,2.23817,26.6185,1.0
1925673820,2.11954,2.20065,26.6014,1.0
1925684534,2.07823,2.15782,26.6242,1.0
1925695297,2.03178,2.10961,26.6314,1.0
1925706014,1.9834,2.05934,26.6214,1.0
1925995903,2.06617,2.14526,26.6057,1.0
1926006643,2.07163,2.15092,26.61,1.0
1926017345,2.07387,2.15322,26.6028,1.0
1926028040,2.07367,2.15309,26.6242,1.0
1926038798,2.07177,2.15103,26.6014,1.0
1926049492,2.06797,2.14716,26.6157,1.0
1926060252,2.06218,2.14109,26.6028,1.0
1926070967,2.05299,2.13155,26.6014,1.0
1926081752,2.04023,2.11841,26.6328,1.0
1926092509,2.02831,2.10608,26.6443,1.0
1926113927,2.00628,2.08309,26.6171,1.0
1926124648,1.99249,2.06874,26.6071,1.0
1926135350,1.98264,2.05855,26.6185,1.0
1926146122,1.98018,2.05603,26.6257,1.0
1926156875,1.98696,2.06305,26.62,1.0
1926447215,2.09365,2.17394,26.6485,1.0
1926457988,2.06951,2.14888,26.6485,1.0
1926468717,2.04917,2.12776,26.6485,1.0
1926479477,2.03335,2.11131,26.6428,1.0
1926490182,2.02096,2.09831,26.6057,1.0
1926500899,2.00822,2.08506,26.5971,1.0
1926511645,1.99325,2.06954,26.6028,1.0
1926522373,1.97649,2.05213,26.6042,1.0
1926533088,1.95943,2.0345,26.6271,1.0
1926576030,1.92355,1.99717,26.6028,1.0
1926586725,1.91722,1.99069,26.63,1.0
1926597482,1.91179,1.98502,26.62,1.0
1926876599,2.51596,2.61229,26.6185,1.0
1926887321,2.52326,2.61981,26.6028,1.0
1926898147,2.52683,2.62371,26.6485,1.0
1926908840,2.52932,2.62627,26.6443,1.0
1926919531,2.53203,2.62889,26.6014,1.0
1926930264,2.53546,2.63255,26.6228,1.0
1926940966,2.54013,2.63729,26.5985,1.0
1926951716,2.54579,2.64327,26.6228,1.0
1926962527,2.55319,2.65104,26.6271,1.0
1927026922,2.65017,2.75157,26.5985,1.0
1927037648,2.65689,2.75859,26.6071,1.0
1927048346,2.65583,2.75758,26.6285,1.0
1927059160,2.6485,2.74998,26.63,1.0
1927370682,2.4392,2.5327,26.6428,1.0
1927381415,2.431,2.5241,26.6242,1.0
1927392196,2.41946,2.51221,26.65,1.0
1927402930,2.40442,2.49656,26.6443,1.0
1927413664,2.38461,2.47593,26.6257,1.0
1927424388,2.36069,2.45099,26.6014,1.0
1927435117,2.33475,2.42411,26.6171,1.0
1927445850,2.30864,2.39705,26.6271,1.0
1927456546,2.28352,2.37095,26.62,1.0
1927467265,2.25925,2.34575,26.62,1.0
1927488668,2.21705,2.30205,26.65,1.0
1927499384,2.20165,2.28603,26.6342,1.0
1927510109,2.19106,2.27507,26.6443,1.0
1927520857,2.1858,2.26953,26.6214,1.0
1927822264,2.20789,2.29251,26.6428,1.0
1927833066,2.2028,2.28709,26.6042,1.0
1927843796,2.19629,2.28035,26.6114,1.0
