Format Version,1.23,Take Name,MS024MPT010,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-29 05.48.08.186 PM,Total Frames in Take,26849,Total Exported Frames,26849,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ConcordeS
,ID,"D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.567935,-1.840029,-12.931640,-0.141752,0.242584,-0.003343
1,0.008333,-0.566754,-1.832368,-12.884584,-0.141778,0.242616,-0.003359
2,0.016667,-0.570309,-1.839398,-12.938579,-0.141751,0.242581,-0.003335
3,0.025000,-0.558667,-1.841152,-12.817640,-0.141729,0.242597,-0.003349
4,0.033333,-0.594481,-1.842197,-12.850613,-0.141726,0.242669,-0.003351
5,0.041667,-0.594605,-1.826568,-12.965837,-0.141799,0.242660,-0.003317
6,0.050000,-0.572698,-1.833189,-12.937835,-0.141783,0.242591,-0.003344
7,0.058333,-0.577665,-1.858561,-12.833349,-0.141735,0.242603,-0.003371
8,0.066667,-0.590435,-1.831908,-12.837185,-0.141717,0.242656,-0.003332
9,0.075000,-0.588281,-1.831783,-12.946501,-0.141753,0.242608,-0.003326
10,0.083333,-0.570239,-1.814600,-12.812118,-0.141703,0.242596,-0.003316
11,0.091667,-0.611099,-1.832578,-12.959317,-0.141743,0.242626,-0.003334
12,0.100000,-0.574331,-1.844669,-12.952473,-0.141772,0.242597,-0.003352
13,0.108333,-0.567565,-1.843652,-12.817522,-0.141725,0.242590,-0.003348
14,0.116667,-0.575141,-1.851238,-12.946438,-0.141812,0.242618,-0.003341
15,0.125000,-0.563838,-1.834648,-12.812710,-0.141714,0.242587,-0.003337
