Format Version,1.0,
Take Name,MS010MPT009,
Capture Frame Rate,120.00,
Export Frame Rate,120.00,
Capture Start Time,25 Mar 2022 13:21:07 +0100,
Total Frames In Take,32582,
Total Exported Frames,32582,
Coordinate Space,Local,
Device Name,NIDAQ USB-6210 31683603,
Device Type,1,
Device Channel Count,6,
Mocap Rate,120.00,
Mocap Rate Multiple,1.00

MocapFrame, MocapTime, DeviceFrame,Dev2/ai0,Dev2/ai1,Dev2/ai2,Dev2/ai3,Dev2/ai4,Dev2/ai5
0,0.000000,0,-0.887365,0.057923,-0.003912,-0.088771,0.351969,-0.252568
1,0.008333,1,-0.898548,0.062857,0.001680,-0.065089,0.355916,-0.236451
2,0.016667,2,-0.905126,0.087525,0.008587,-0.056537,0.350654,-0.235793
3,0.025000,3,-0.896246,0.086868,0.003324,-0.050617,0.346707,-0.227900
4,0.033333,4,-0.882431,0.086868,-0.002596,-0.057853,0.345062,-0.223624
5,0.041667,5,-0.885063,0.075685,-0.004898,-0.060484,0.338484,-0.240069
6,0.050000,6,-0.879471,0.057923,-0.002596,-0.085810,0.340457,-0.237109
7,0.058333,7,-0.898219,0.046412,-0.003254,-0.094691,0.348680,-0.246976
8,0.066667,8,-0.911376,0.036215,-0.002596,-0.095349,0.346707,-0.267040
9,0.075000,9,-0.896246,0.041478,0.001022,-0.100940,0.347365,-0.258488
10,0.083333,10,-0.881445,0.055950,-0.007859,-0.090086,0.344733,-0.255857
11,0.091667,11,-0.875195,0.064173,-0.017726,-0.078245,0.342760,-0.242043
12,0.100000,12,-0.871248,0.076671,-0.007859,-0.069694,0.348022,-0.230860
13,0.108333,13,-0.886378,0.082921,-0.005885,-0.061142,0.352298,-0.226255
14,0.116667,14,-0.899206,0.082592,-0.003583,-0.050617,0.356245,-0.235793
15,0.125000,15,-0.899535,0.067462,0.002995,-0.064102,0.359534,-0.239740
16,0.133333,16,-0.900850,0.060555,-0.000294,-0.072983,0.355587,-0.246319
17,0.141667,17,-0.903811,0.053319,-0.003912,-0.087784,0.356574,-0.256844
18,0.150000,18,-0.889996,0.044438,-0.008845,-0.095678,0.357232,-0.256515
19,0.158333,19,-0.884405,0.042794,-0.011806,-0.087784,0.347036,-0.259804
20,0.166667,20,-0.886049,0.053319,-0.012134,-0.092389,0.345062,-0.247634
21,0.175000,21,-0.896246,0.061870,-0.010161,-0.077916,0.355916,-0.242043
22,0.183333,22,-0.908744,0.074040,-0.005885,-0.069365,0.356245,-0.234149
23,0.191667,23,-0.896246,0.077987,-0.007530,-0.063773,0.351640,-0.227900
24,0.200000,24,-0.872235,0.080618,-0.012792,-0.066734,0.343418,-0.227571
25,0.208333,25,-0.869275,0.076014,-0.018055,-0.068049,0.344733,-0.235465
26,0.216667,26,-0.885392,0.058252,-0.007201,-0.076601,0.347694,-0.247634
27,0.225000,27,-0.906442,0.052661,0.004311,-0.086797,0.353943,-0.258488
28,0.233333,28,-0.914994,0.039176,0.003324,-0.089099,0.361508,-0.257173
29,0.241667,29,-0.897890,0.049372,-0.003912,-0.088442,0.356574,-0.255857
30,0.250000,30,-0.877169,0.054305,-0.011477,-0.079232,0.349996,-0.258159
31,0.258333,31,-0.883089,0.062528,-0.011806,-0.075614,0.349667,-0.244345
32,0.266667,32,-0.893943,0.070751,-0.009174,-0.070023,0.361179,-0.233820
33,0.275000,33,-0.906442,0.081934,-0.006543,-0.065418,0.363481,-0.235793
34,0.283333,34,-0.898548,0.074698,-0.010490,-0.064760,0.361179,-0.233820
35,0.291667,35,-0.889339,0.072724,-0.015424,-0.074627,0.353285,-0.244345
36,0.300000,36,-0.873880,0.056608,-0.023646,-0.086468,0.351312,-0.241385
37,0.308333,37,-0.867302,0.051345,-0.026935,-0.091402,0.349996,-0.246648
38,0.316667,38,-0.876840,0.046412,-0.023317,-0.091402,0.349009,-0.254870
39,0.325000,39,-0.881445,0.043123,-0.015095,-0.089757,0.351640,-0.245003
40,0.333333,40,-0.900850,0.063515,-0.004241,-0.075943,0.358548,-0.251910
41,0.341667,41,-0.915980,0.068120,-0.003912,-0.061471,0.365784,-0.240398
42,0.350000,42,-0.905126,0.082921,-0.004569,-0.067062,0.362166,-0.227571
43,0.358333,43,-0.883418,0.085552,-0.006872,-0.064760,0.354272,-0.234478
44,0.366667,44,-0.883418,0.069764,-0.011477,-0.065747,0.350654,-0.235465
45,0.375000,45,-0.897232,0.071080,-0.004241,-0.082850,0.358219,-0.250594
46,0.383333,46,-0.916638,0.043451,0.000035,-0.088771,0.359863,-0.266053
47,0.391667,47,-0.916967,0.033584,-0.000623,-0.093704,0.363152,-0.259475
48,0.400000,48,-0.902166,0.049372,-0.009503,-0.095349,0.357561,-0.264738
49,0.408333,49,-0.878156,0.044109,-0.018713,-0.082850,0.349338,-0.248621
50,0.416667,50,-0.869275,0.058252,-0.021673,-0.077259,0.345062,-0.229215
51,0.425000,51,-0.874866,0.076014,-0.018055,-0.061471,0.349667,-0.227900
52,0.433333,52,-0.879471,0.087197,-0.016739,-0.056866,0.354601,-0.220664
53,0.441667,53,-0.885720,0.083250,-0.015095,-0.062787,0.348351,-0.224282
54,0.450000,54,-0.885720,0.073053,-0.008187,-0.064760,0.350325,-0.235136
55,0.458333,55,-0.889339,0.058910,-0.007859,-0.079890,0.349996,-0.258159
56,0.466667,56,-0.891970,0.040491,-0.007201,-0.105545,0.347694,-0.257502
57,0.475000,57,-0.888681,0.034900,-0.001609,-0.105874,0.345062,-0.269342
58,0.483333,58,-0.888681,0.036215,-0.002267,-0.096007,0.348022,-0.273618
59,0.491667,59,-0.901179,0.046083,0.000364,-0.087126,0.347694,-0.256844
60,0.500000,60,-0.903153,0.060555,0.007600,-0.071009,0.344404,-0.239740
61,0.508333,61,-0.900193,0.086539,0.006285,-0.056537,0.344076,-0.224611
62,0.516667,62,-0.894930,0.091472,-0.004569,-0.048643,0.343089,-0.217374
63,0.525000,63,-0.879800,0.090486,-0.006872,-0.056208,0.340786,-0.212441
64,0.533333,64,-0.884076,0.082592,-0.003254,-0.063773,0.336839,-0.235136
65,0.541667,65,-0.894930,0.056937,-0.003254,-0.080548,0.344733,-0.241714
66,0.550000,66,-0.892299,0.053977,-0.005885,-0.101269,0.346707,-0.259475
67,0.558333,67,-0.889667,0.038847,-0.008845,-0.098309,0.350325,-0.269013
68,0.566667,68,-0.895917,0.038189,-0.007201,-0.104229,0.352627,-0.270329
69,0.575000,69,-0.901179,0.041149,-0.006872,-0.097322,0.355587,-0.264738
70,0.583333,70,-0.900522,0.058910,-0.006872,-0.076272,0.362166,-0.244345
71,0.591667,71,-0.910389,0.071080,-0.007201,-0.065089,0.361179,-0.238096
72,0.600000,72,-0.908744,0.081276,-0.004241,-0.050946,0.360192,-0.222637
