Format Version,1.23,Take Name,ms010mpt001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-03-24 03.18.34.248 PM,Total Frames in Take,801,Total Exported Frames,801,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,concords,concords,concords,concords,concords,concords
,ID,"5D216F16AB5E11ECD572003BC676219F","5D216F16AB5E11ECD572003BC676219F","5D216F16AB5E11ECD572003BC676219F","5D216F16AB5E11ECD572003BC676219F","5D216F16AB5E11ECD572003BC676219F","5D216F16AB5E11ECD572003BC676219F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.492533,0.041761,-0.976159,-0.019856,0.094035,0.001936
1,0.008333,0.494664,0.044806,-0.983248,-0.019842,0.094032,0.001938
2,0.016667,0.501659,0.038291,-0.972399,-0.019847,0.094038,0.001934
3,0.025000,0.498227,0.048836,-0.963869,-0.019878,0.094049,0.001923
4,0.033333,0.492900,0.044568,-0.965781,-0.019883,0.094055,0.001927
5,0.041667,0.495878,0.038035,-0.957456,-0.019823,0.094068,0.001948
6,0.050000,,,,,,
7,0.058333,0.493366,0.043367,-0.981275,-0.019859,0.094059,0.001937
8,0.066667,0.503165,0.022947,-0.941855,-0.019840,0.094053,0.001940
9,0.075000,0.500066,0.019112,-0.947507,-0.019808,0.094054,0.001942
10,0.083333,0.497039,0.045131,-0.963088,-0.019878,0.094047,0.001933
11,0.091667,0.496226,0.024927,-0.946586,-0.019814,0.094055,0.001935
12,0.100000,0.499696,0.025687,-0.952761,-0.019798,0.094066,0.001953
13,0.108333,0.496946,0.042828,-0.977038,-0.019854,0.094042,0.001933
14,0.116667,0.503697,0.027900,-0.963973,-0.019804,0.094064,0.001951
15,0.125000,0.501326,0.038656,-0.980043,-0.019842,0.094050,0.001942
16,0.133333,0.503520,0.025873,-0.949987,-0.019791,0.094054,0.001974
17,0.141667,0.496503,0.041692,-0.972566,-0.019839,0.094047,0.001950
18,0.150000,0.502515,0.044857,-0.973549,-0.019860,0.094041,0.001944
19,0.158333,0.505753,0.027398,-0.953544,-0.019808,0.094062,0.001947
20,0.166667,0.497544,0.024093,-0.950321,-0.019798,0.094062,0.001958
21,0.175000,0.497005,0.039103,-0.987465,-0.019840,0.094054,0.001939
22,0.183333,0.501113,0.043130,-0.982620,-0.019851,0.094045,0.001949
23,0.191667,0.498938,0.038881,-0.978042,-0.019837,0.094047,0.001960
24,0.200000,0.495595,0.046292,-0.981512,-0.019848,0.094061,0.001942
25,0.208333,0.501719,0.041782,-0.985811,-0.019820,0.094042,0.001955
26,0.216667,0.499856,0.025145,-0.954639,-0.019797,0.094062,0.001963
27,0.225000,0.501290,0.026322,-0.952469,-0.019824,0.094063,0.001954
28,0.233333,0.504198,0.027917,-0.953945,-0.019798,0.094067,0.001952
29,0.241667,0.488066,0.029233,-0.944110,-0.019811,0.094073,0.001962
30,0.250000,0.495903,0.038811,-0.990164,-0.019831,0.094059,0.001957
31,0.258333,0.498634,0.049037,-0.971843,-0.019857,0.094047,0.001947
32,0.266667,0.505105,0.020244,-0.958345,-0.019800,0.094072,0.001958
33,0.275000,0.502714,0.027414,-0.948905,-0.019795,0.094069,0.001957
34,0.283333,0.499157,0.045054,-0.975092,-0.019862,0.094061,0.001940
35,0.291667,0.499940,0.026437,-0.953735,-0.019810,0.094063,0.001936
36,0.300000,0.492420,0.043815,-0.972290,-0.019879,0.094060,0.001929
37,0.308333,0.493063,0.028024,-0.956386,-0.019812,0.094064,0.001943
38,0.316667,0.499443,0.028627,-0.951791,-0.019804,0.094066,0.001943
39,0.325000,0.500039,0.030074,-0.959935,-0.019806,0.094069,0.001950
40,0.333333,0.498682,0.030785,-0.949109,-0.019808,0.094060,0.001955
41,0.341667,0.501264,0.024398,-0.949870,-0.019808,0.094061,0.001958
42,0.350000,0.504605,0.050132,-0.981722,-0.019843,0.094056,0.001951
43,0.358333,0.499483,0.043697,-0.970834,-0.019858,0.094059,0.001938
44,0.366667,0.491013,0.028015,-0.954425,-0.019804,0.094070,0.001945
45,0.375000,0.496861,0.042472,-0.966587,-0.019858,0.094055,0.001942
46,0.383333,0.499388,0.023102,-0.956337,-0.019797,0.094071,0.001963
47,0.391667,0.500307,0.033717,-0.967119,-0.019846,0.094072,0.001953
48,0.400000,0.501315,0.029738,-0.949974,-0.019808,0.094069,0.001968
49,0.408333,0.502090,0.043817,-0.982844,-0.019856,0.094057,0.001947
50,0.416667,0.504133,0.023111,-0.955842,-0.019813,0.094069,0.001960
51,0.425000,0.499903,0.022662,-0.969373,-0.019812,0.094077,0.001955
52,0.433333,0.507484,0.028624,-0.960672,-0.019806,0.094064,0.001954
53,0.441667,0.500802,0.025067,-0.955174,-0.019785,0.094057,0.001970
54,0.450000,0.501381,0.032466,-0.943677,-0.019817,0.094046,0.001947
55,0.458333,0.490412,0.044513,-0.969262,-0.019869,0.094042,0.001943
56,0.466667,0.494896,0.037808,-0.970151,-0.019851,0.094045,0.001934
57,0.475000,0.497395,0.041718,-0.964466,-0.019868,0.094054,0.001943
58,0.483333,0.496205,0.029316,-0.950218,-0.019814,0.094066,0.001935
59,0.491667,0.501565,0.037189,-0.968341,-0.019863,0.094044,0.001933
60,0.500000,0.495000,0.024041,-0.950389,-0.019801,0.094065,0.001962
61,0.508333,0.498766,0.038505,-0.970125,-0.019842,0.094053,0.001940
62,0.516667,0.505982,0.035176,-0.979415,-0.019856,0.094060,0.001935
63,0.525000,0.501097,0.038166,-0.974493,-0.019863,0.094048,0.001952
64,0.533333,0.498488,0.034375,-0.979556,-0.019850,0.094049,0.001962
65,0.541667,0.496005,0.053885,-0.972469,-0.019889,0.094068,0.001933
66,0.550000,0.503461,0.040631,-0.981753,-0.019864,0.094061,0.001926
67,0.558333,0.499974,0.038274,-0.977677,-0.019835,0.094057,0.001938
68,0.566667,0.502885,0.025931,-0.957250,-0.019805,0.094051,0.001950
69,0.575000,0.491291,0.048238,-0.972598,-0.019861,0.094053,0.001932
70,0.583333,0.499865,0.027845,-0.945014,-0.019813,0.094052,0.001945
71,0.591667,0.495143,0.040685,-0.975160,-0.019848,0.094057,0.001949
72,0.600000,0.503012,0.028820,-0.952300,-0.019792,0.094064,0.001948
73,0.608333,0.502231,0.028577,-0.957389,-0.019795,0.094064,0.001944
74,0.616667,0.494445,0.046240,-0.977595,-0.019848,0.094054,0.001944
75,0.625000,0.497474,0.025562,-0.948201,-0.019817,0.094072,0.001960
76,0.633333,0.506060,0.034758,-0.948164,-0.019821,0.094066,0.001941
77,0.641667,0.499410,0.028132,-0.949801,-0.019810,0.094058,0.001949
78,0.650000,0.497561,0.025659,-0.949309,-0.019813,0.094050,0.001955
79,0.658333,0.498434,0.041842,-0.968647,-0.019862,0.094054,0.001945
80,0.666667,0.498523,0.047137,-0.971063,-0.019860,0.094072,0.001944
81,0.675000,0.494880,0.041652,-0.961749,-0.019876,0.094057,0.001944
82,0.683333,0.497354,0.045720,-0.963254,-0.019885,0.094064,0.001951
83,0.691667,0.494890,0.037972,-0.957413,-0.019894,0.094067,0.001931
84,0.700000,0.509068,0.029943,-0.954790,-0.019820,0.094080,0.001941
85,0.708333,0.499532,0.041024,-0.958574,-0.019882,0.094068,0.001939
86,0.716667,0.498628,0.033214,-0.971174,-0.019844,0.094063,0.001939
87,0.725000,0.510101,0.041026,-0.969538,-0.019849,0.094064,0.001946
88,0.733333,0.511231,0.040786,-0.970186,-0.019850,0.094051,0.001940
89,0.741667,0.505919,0.042944,-0.964640,-0.019869,0.094054,0.001944
90,0.750000,0.504576,0.025508,-0.949041,-0.019810,0.094065,0.001956
91,0.758333,0.497239,0.027187,-0.947532,-0.019806,0.094068,0.001957
92,0.766667,0.498484,0.021343,-0.948119,-0.019815,0.094077,0.001951
93,0.775000,0.496399,0.045326,-0.967801,-0.019880,0.094061,0.001958
94,0.783333,0.504580,0.027222,-0.955058,-0.019809,0.094064,0.001961
95,0.791667,0.501396,0.046453,-0.966843,-0.019868,0.094049,0.001947
96,0.800000,0.503092,0.021722,-0.950876,-0.019811,0.094053,0.001957
97,0.808333,0.505072,0.040030,-0.964643,-0.019871,0.094035,0.001943
98,0.816667,0.501967,0.026788,-0.955502,-0.019809,0.094059,0.001948
99,0.825000,0.505535,0.036368,-0.979444,-0.019862,0.094043,0.001942
100,0.833333,0.502646,0.041795,-0.971903,-0.019863,0.094058,0.001929
101,0.841667,0.506692,0.044700,-0.970029,-0.019857,0.094039,0.001944
102,0.850000,0.498065,0.034851,-0.981087,-0.019853,0.094050,0.001952
103,0.858333,0.498919,0.040322,-0.969713,-0.019881,0.094049,0.001938
104,0.866667,0.507674,0.022975,-0.957060,-0.019805,0.094070,0.001945
105,0.875000,0.499372,0.042392,-0.973024,-0.019855,0.094057,0.001947
106,0.883333,0.505142,0.032076,-0.947102,-0.019826,0.094056,0.001965
107,0.891667,0.507367,0.037243,-0.981080,-0.019884,0.094060,0.001949
108,0.900000,0.499751,0.028557,-0.944458,-0.019830,0.094060,0.001962
109,0.908333,0.501636,0.055784,-0.988788,-0.019787,0.094058,0.001927
110,0.916667,0.447291,0.049340,-0.964601,-0.019778,0.094129,0.001983
111,0.925000,0.497070,0.054583,-0.990929,-0.019778,0.094045,0.001938
112,0.933333,0.496736,0.039381,-0.950493,-0.019787,0.094068,0.001945
113,0.941667,0.491592,0.039947,-0.945158,-0.019785,0.094071,0.001947
