Format Version,1.23,Take Name,MS010MPT004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-03-25 12.58.56.516 PM,Total Frames in Take,7892,Total Exported Frames,7892,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S,Concorde_S
,ID,"FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F","FE47CAB7AC3111ECD572003BC676219F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.070051,0.022580,-0.013393,-0.019546,0.095004,0.001257
1,0.008333,0.064760,0.022692,-0.017357,-0.019548,0.095006,0.001249
2,0.016667,0.068204,0.021089,-0.014450,-0.019552,0.095023,0.001252
3,0.025000,0.071354,0.023103,-0.015075,-0.019548,0.095036,0.001251
4,0.033333,0.069517,0.024487,-0.012102,-0.019538,0.095018,0.001248
5,0.041667,0.070368,0.026114,-0.015121,-0.019547,0.095010,0.001241
6,0.050000,,,,,,
7,0.058333,0.068265,0.020296,-0.019174,-0.019538,0.095013,0.001245
8,0.066667,0.073023,0.024251,-0.016860,-0.019541,0.095024,0.001240
9,0.075000,0.069089,0.026711,-0.021477,-0.019543,0.095023,0.001243
10,0.083333,0.074981,0.022235,-0.015571,-0.019545,0.095023,0.001253
11,0.091667,0.072765,0.024999,-0.012140,-0.019548,0.095013,0.001250
12,0.100000,0.074373,0.021103,-0.016247,-0.019536,0.095014,0.001247
13,0.108333,0.063808,0.022315,-0.015914,-0.019538,0.095012,0.001247
14,0.116667,0.067585,0.023556,-0.017117,-0.019541,0.095010,0.001249
15,0.125000,0.073150,0.031124,-0.015705,-0.019543,0.095012,0.001245
16,0.133333,0.073108,0.026917,-0.014340,-0.019544,0.095009,0.001250
17,0.141667,0.063908,0.028687,-0.021127,-0.019542,0.095006,0.001265
18,0.150000,0.069802,0.024648,-0.019605,-0.019546,0.095009,0.001271
19,0.158333,0.067514,0.021519,-0.017134,-0.019558,0.095016,0.001280
20,0.166667,0.070066,0.023398,-0.017154,-0.019557,0.095007,0.001264
21,0.175000,0.068309,0.025236,-0.013103,-0.019555,0.095004,0.001272
22,0.183333,0.073706,0.023826,-0.018030,-0.019569,0.095007,0.001270
23,0.191667,0.066019,0.019542,-0.020303,-0.019561,0.095020,0.001275
24,0.200000,0.071529,0.025675,-0.025475,-0.019555,0.095011,0.001259
25,0.208333,0.072907,0.021213,-0.019702,-0.019550,0.095011,0.001250
26,0.216667,0.070566,0.029051,-0.026750,-0.019537,0.094991,0.001229
27,0.225000,0.062853,0.022897,-0.013349,-0.019547,0.095006,0.001246
28,0.233333,0.070372,0.023723,-0.021476,-0.019544,0.095019,0.001257
29,0.241667,0.070989,0.021215,-0.025806,-0.019544,0.095016,0.001238
30,0.250000,0.071223,0.025813,-0.018122,-0.019539,0.095012,0.001236
31,0.258333,0.069039,0.025256,-0.019362,-0.019544,0.095021,0.001233
32,0.266667,0.075761,0.021475,-0.012023,-0.019553,0.095025,0.001247
33,0.275000,0.068837,0.023369,-0.012672,-0.019556,0.095021,0.001254
34,0.283333,0.083252,0.024020,-0.018204,-0.019547,0.095012,0.001245
35,0.291667,0.072408,0.020726,-0.014177,-0.019550,0.095005,0.001240
36,0.300000,0.065762,0.024870,-0.018752,-0.019544,0.095001,0.001243
37,0.308333,0.069748,0.023694,-0.015913,-0.019550,0.095017,0.001237
38,0.316667,0.071358,0.022531,-0.015877,-0.019551,0.095011,0.001232
39,0.325000,0.074844,0.025223,-0.021335,-0.019552,0.094991,0.001228
40,0.333333,0.064826,0.025756,-0.019130,-0.019545,0.094996,0.001229
41,0.341667,0.073178,0.024571,-0.019208,-0.019546,0.095002,0.001244
42,0.350000,0.065760,0.024136,-0.015470,-0.019547,0.095002,0.001245
43,0.358333,0.066378,0.026227,-0.008485,-0.019551,0.095000,0.001251
44,0.366667,0.070588,0.022223,-0.018280,-0.019547,0.094999,0.001249
