Format Version,1.0,
Take Name,MS010MPT006,
Capture Frame Rate,120.00,
Export Frame Rate,120.00,
Capture Start Time,25 Mar 2022 13:02:42 +0100,
Total Frames In Take,6741,
Total Exported Frames,6741,
Coordinate Space,Local,
Device Name,NIDAQ USB-6210 31683603,
Device Type,1,
Device Channel Count,6,
Mocap Rate,120.00,
Mocap Rate Multiple,1.00

MocapFrame, MocapTime, DeviceFrame,Dev2/ai0,Dev2/ai1,Dev2/ai2,Dev2/ai3,Dev2/ai4,Dev2/ai5
0,0.000000,0,-0.744618,0.076014,-0.010490,-0.125937,0.188501,-0.223295
1,0.008333,1,-0.743631,0.077000,-0.010490,-0.125280,0.188830,-0.222966
2,0.016667,2,-0.742973,0.075685,-0.010490,-0.124951,0.188501,-0.223295
3,0.025000,3,-0.743960,0.076014,-0.011148,-0.125937,0.188501,-0.222966
4,0.033333,4,-0.744289,0.076014,-0.010161,-0.124951,0.188172,-0.223624
5,0.041667,5,-0.744289,0.076342,-0.010161,-0.124951,0.188830,-0.223295
6,0.050000,6,-0.743631,0.076014,-0.009832,-0.124951,0.188501,-0.223295
7,0.058333,7,-0.744289,0.076014,-0.010490,-0.125280,0.188501,-0.223295
8,0.066667,8,-0.743631,0.076671,-0.010161,-0.124622,0.188830,-0.223295
9,0.075000,9,-0.743960,0.076014,-0.010161,-0.124951,0.188501,-0.223624
10,0.083333,10,-0.744618,0.075356,-0.010161,-0.124951,0.188501,-0.223295
11,0.091667,11,-0.744618,0.076671,-0.010161,-0.125280,0.188830,-0.222966
12,0.100000,12,-0.743302,0.076014,-0.010819,-0.125280,0.188501,-0.223295
13,0.108333,13,-0.744289,0.076671,-0.011148,-0.125280,0.188172,-0.223624
14,0.116667,14,-0.744289,0.075356,-0.009503,-0.124951,0.188830,-0.222637
15,0.125000,15,-0.744618,0.077000,-0.010161,-0.124951,0.188501,-0.223295
16,0.133333,16,-0.743631,0.073711,-0.011148,-0.125280,0.188501,-0.223295
17,0.141667,17,-0.743631,0.075356,-0.010819,-0.125280,0.188501,-0.223295
18,0.150000,18,-0.743631,0.075356,-0.010161,-0.125280,0.188501,-0.223295
19,0.158333,19,-0.743960,0.075027,-0.009832,-0.125280,0.188830,-0.222966
20,0.166667,20,-0.744618,0.077329,-0.010490,-0.124951,0.188830,-0.223295
21,0.175000,21,-0.743302,0.076342,-0.010490,-0.124951,0.188501,-0.222966
22,0.183333,22,-0.743302,0.076342,-0.010490,-0.125280,0.188501,-0.223295
23,0.191667,23,-0.743631,0.076671,-0.010490,-0.125280,0.188501,-0.223624
24,0.200000,24,-0.743960,0.075356,-0.010161,-0.124951,0.188830,-0.223624
25,0.208333,25,-0.744947,0.076342,-0.010161,-0.125280,0.188501,-0.223624
26,0.216667,26,-0.744289,0.074698,-0.009503,-0.125280,0.188830,-0.223953
27,0.225000,27,-0.744289,0.076671,-0.010490,-0.124951,0.188501,-0.223624
28,0.233333,28,-0.744289,0.076014,-0.010819,-0.125280,0.188501,-0.223295
29,0.241667,29,-0.743960,0.076014,-0.011148,-0.125280,0.188501,-0.223295
30,0.250000,30,-0.743960,0.076342,-0.010161,-0.125280,0.188501,-0.223295
31,0.258333,31,-0.744289,0.075685,-0.010161,-0.124951,0.188830,-0.223624
32,0.266667,32,-0.744289,0.077000,-0.011477,-0.125280,0.188172,-0.223295
