timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1104043655,-2.80205,-2.90201,25.153,1.0
1104054348,-2.83346,-2.93457,25.1587,1.0
1104065075,-2.86794,-2.97022,25.1515,1.0
1104075776,-2.90541,-3.00898,25.1401,1.0
1104365812,-2.90242,-3.00603,25.1744,1.0
1104376561,-2.86176,-2.96371,25.1344,1.0
1104387302,-2.82089,-2.92147,25.1515,1.0
1104398082,-2.78128,-2.88048,25.1558,1.0
1104408791,-2.74167,-2.83936,25.133,1.0
1104419562,-2.70161,-2.79796,25.1515,1.0
1104430296,-2.66202,-2.75698,25.1558,1.0
1104441046,-2.62292,-2.71658,25.1758,1.0
1104451742,-2.58344,-2.67564,25.163,1.0
1104462470,-2.54364,-2.63446,25.173,1.0
1104505273,-2.43347,-2.52026,25.1487,1.0
1104515966,-2.4237,-2.51014,25.1472,1.0
1104526717,-2.41727,-2.50351,25.153,1.0
1104537415,-2.41491,-2.50108,25.1558,1.0
1104826733,-2.9515,-3.0568,25.1544,1.0
1104837477,-2.93972,-3.04462,25.1587,1.0
1104848173,-2.92163,-3.02588,25.1587,1.0
1104859050,-2.899,-3.00243,25.1558,1.0
1104869763,-2.87368,-2.97621,25.1558,1.0
1104880457,-2.85025,-2.95184,25.1372,1.0
1104891187,-2.83166,-2.93268,25.1558,1.0
1104901878,-2.81518,-2.91572,25.1787,1.0
1104912676,-2.7983,-2.89812,25.1544,1.0
1104923468,-2.78236,-2.88153,25.1387,1.0
1104955663,-2.74855,-2.84651,25.1372,1.0
1104966400,-2.74238,-2.84019,25.1515,1.0
1104977139,-2.7373,-2.83495,25.1558,1.0
1104987894,-2.73384,-2.83137,25.1558,1.0
1105277958,-2.553,-2.64394,25.1287,1.0
1105288668,-2.55512,-2.64625,25.1558,1.0
1105299473,-2.55714,-2.64835,25.1587,1.0
1105310166,-2.5582,-2.64943,25.153,1.0
1105320937,-2.56066,-2.65192,25.133,1.0
1105331663,-2.56363,-2.65511,25.1587,1.0
1105342433,-2.56615,-2.6577,25.1558,1.0
1105353193,-2.56829,-2.65982,25.1344,1.0
1105363951,-2.56945,-2.66111,25.1573,1.0
1105428263,-2.5677,-2.65942,25.1816,1.0
1105438960,-2.56365,-2.65519,25.1773,1.0
1105449654,-2.56117,-2.65254,25.1573,1.0
1105460348,-2.5617,-2.65306,25.1515,1.0
1105760609,-3.19301,-3.30688,25.1501,1.0
1105771300,-3.19846,-3.31256,25.1573,1.0
1105782107,-3.20314,-3.31739,25.1515,1.0
1105792901,-3.20713,-3.32154,25.1558,1.0
1105803678,-3.21038,-3.32493,25.1558,1.0
1105814400,-3.21179,-3.32638,25.1558,1.0
1105825106,-3.211,-3.32544,25.133,1.0
1105835826,-3.20974,-3.3243,25.163,1.0
1105846608,-3.20676,-3.32128,25.1773,1.0
1105857303,-3.2,-3.31421,25.1644,1.0
1105900293,-3.12055,-3.23185,25.1544,1.0
1105910981,-3.08864,-3.19881,25.1558,1.0
1105921668,-3.05313,-3.16203,25.1544,1.0
1105932361,-3.01559,-3.12315,25.1558,1.0
1106211027,-2.72549,-2.82265,25.1458,1.0
1106221866,-2.73712,-2.83464,25.1358,1.0
1106232583,-2.74871,-2.84674,25.1558,1.0
1106243312,-2.75941,-2.85786,25.153,1.0
1106254064,-2.77018,-2.869,25.1501,1.0
1106264842,-2.78282,-2.88202,25.1372,1.0
1106275549,-2.79737,-2.89717,25.1544,1.0
1106286275,-2.81163,-2.91196,25.1558,1.0
1106296979,-2.82315,-2.92398,25.1773,1.0
1106339985,-2.84609,-2.94764,25.1558,1.0
1106350673,-2.85088,-2.95262,25.1601,1.0
1106361369,-2.85564,-2.95747,25.143,1.0
1106372064,-2.86221,-2.96431,25.1501,1.0
1106382756,-2.87028,-2.97269,25.1558,1.0
1106662069,-2.9845,-3.09086,25.1387,1.0
1106672793,-2.97976,-3.08595,25.1372,1.0
1106683503,-2.979,-3.08524,25.1544,1.0
1106694191,-2.98265,-3.08892,25.133,1.0
1106704881,-2.98971,-3.09624,25.1358,1.0
1106715602,-2.99961,-3.10661,25.1573,1.0
1106726293,-3.01191,-3.11936,25.1573,1.0
1106737014,-3.02635,-3.13419,25.133,1.0
1106747780,-3.04309,-3.15169,25.163,1.0
