timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
1103991017,-2.68387,-2.68387,-2.77951,0.0141753,0.0152726,1,1
1104391040,-2.82089,-2.82089,-2.92147,0.0141307,0.0152247,1,1
1104891024,-2.85025,-2.85025,-2.95184,0.0145068,0.0156297,1,1
1104991016,-2.73384,-2.73384,-2.83137,0.0147483,0.0158899,1,1
1105191019,-2.627,-2.627,-2.72075,0.0141891,0.0152877,1,1
1105291017,-2.553,-2.553,-2.64394,0.0140517,0.0151393,1,1
1105791019,-3.20314,-3.20314,-3.31739,0.0137206,0.0147827,1,1
1106291041,-2.81163,-2.81163,-2.91195,0.0140653,0.0151541,1,1
1106691105,-2.979,-2.979,-3.08524,0.0130768,0.0140891,1,1
1107191023,-2.8504,-2.8504,-2.95204,0.0127756,0.0137646,1,1
1107291018,-2.83319,-2.83319,-2.93421,0.0129794,0.0139841,1,1
1107691033,-2.48955,-2.48955,-2.57843,0.0113015,0.0121763,1,1
1108191047,-2.99977,-2.99977,-3.10677,0.0118032,0.0127169,1,1
1108291016,-3.02246,-3.02246,-3.13027,0.0120485,0.0129813,1,1
1108591129,-2.51641,-2.51641,-2.60619,0.0119392,0.0128636,1,1
1109091361,-2.58197,-2.58197,-2.67397,0.0115175,0.0124092,1,1
1109191672,-2.5465,-2.5465,-2.63741,0.0114824,0.0123715,1,1
1109491207,-2.35723,-2.35723,-2.44137,0.0108692,0.011711,1,1
1109991067,-2.54494,-2.54494,-2.63584,0.00973001,0.0104835,1,1
1110491033,-2.80911,-2.80911,-2.90943,0.00824601,0.0088846,1,1
1110891019,-2.63258,-2.63258,-2.72644,0.00949439,0.0102298,1,1
1111391020,-2.58744,-2.58744,-2.67982,0.0116184,0.0125183,1,1
1111891022,-2.75749,-2.75749,-2.85574,0.0142888,0.0153958,1,1
1111991053,-2.62517,-2.62517,-2.71873,0.0151485,0.0163223,1,1
1112291087,-2.87303,-2.87303,-2.97555,0.0162584,0.0175182,1,1
1112791016,-2.69864,-2.69864,-2.79498,0.0172905,0.0186306,1,1
1112891049,-2.57684,-2.57684,-2.66874,0.0173267,0.0186692,1,1
1113291045,-2.47308,-2.47308,-2.5613,0.0174733,0.0188272,1,1
1113691030,-2.65828,-2.65828,-2.75307,0.0170641,0.0183863,1,1
1115091017,-2.75678,-2.75678,-2.85523,0.0087928,0.00947445,1,1
1115591020,-2.28769,-2.28769,-2.36925,0.00590119,0.00635869,1,1
1115691019,-2.4429,-2.4429,-2.52998,0.00544384,0.0058659,1,1
1115991028,-3.00331,-3.00331,-3.11049,0.00477556,0.00514581,1,1
1116491581,-2.6759,-2.6759,-2.77142,0.00235102,0.00253333,1,1
1116591507,-2.74196,-2.74196,-2.83975,0.00169848,0.00183019,1,1
1116991138,-2.18986,-2.18986,-2.26788,0.00379584,0.00409014,1,1
1117091273,-2.45898,-2.45898,-2.54658,0.00399443,0.00430416,1,1
1117491048,-2.84568,-2.84568,-2.9472,0.00637999,0.00687476,1,1
1117891041,-2.66339,-2.66339,-2.75841,0.00919499,0.00990827,1,1
1118391034,-2.52963,-2.52963,-2.61978,0.0111362,0.012,1,1
1118491020,-2.4774,-2.4774,-2.56571,0.0106672,0.0114948,1,1
1118891021,-2.11355,-2.11355,-2.18896,0.0125587,0.0135327,1,1
1119291035,1.45057,1.45057,1.50225,0.017136,0.0184654,1,1
1119791040,3.2425,3.2425,3.35816,0.0229212,0.0247,1,1
1119891083,3.35894,3.35894,3.47876,0.0229936,0.0247779,1,1
