Format Version,1.0,
Take Name,MS024MPT005,
Capture Frame Rate,120.00,
Export Frame Rate,120.00,
Capture Start Time,29 Apr 2022 17:20:11 +0200,
Total Frames In Take,3437,
Total Exported Frames,3437,
Coordinate Space,Local,
Device Name,NIDAQ USB-6210 31683603,
Device Type,1,
Device Channel Count,6,
Mocap Rate,120.00,
Mocap Rate Multiple,1.00

MocapFrame, MocapTime, DeviceFrame,Dev2/ai0,Dev2/ai1,Dev2/ai2,Dev2/ai3,Dev2/ai4,Dev2/ai5
0,0.000000,0,-0.822570,0.087854,0.171069,-0.129227,0.066475,-0.230860
1,0.008333,1,-0.822899,0.088183,0.171398,-0.129555,0.067133,-0.230860
2,0.016667,2,-0.823885,0.086539,0.171726,-0.129227,0.067791,-0.230531
3,0.025000,3,-0.823228,0.086539,0.171398,-0.128898,0.068120,-0.229873
4,0.033333,4,-0.822570,0.088841,0.172055,-0.128898,0.066804,-0.230860
5,0.041667,5,-0.822241,0.086868,0.171726,-0.129227,0.066804,-0.229873
6,0.050000,6,-0.822899,0.087197,0.171069,-0.128898,0.067133,-0.229544
7,0.058333,7,-0.823228,0.088512,0.170411,-0.128569,0.067462,-0.229544
8,0.066667,8,-0.822570,0.087197,0.171398,-0.127582,0.067133,-0.229873
9,0.075000,9,-0.822570,0.087854,0.171398,-0.128569,0.067133,-0.229544
10,0.083333,10,-0.823228,0.085881,0.170740,-0.129227,0.067133,-0.229544
11,0.091667,11,-0.822899,0.088183,0.171069,-0.129227,0.068120,-0.230202
12,0.100000,12,-0.823228,0.086210,0.171069,-0.129227,0.067462,-0.230860
13,0.108333,13,-0.823228,0.086210,0.171398,-0.129227,0.067133,-0.230531
14,0.116667,14,-0.822570,0.087525,0.171726,-0.129555,0.067791,-0.230531
15,0.125000,15,-0.822899,0.087854,0.171398,-0.129227,0.067462,-0.230202
16,0.133333,16,-0.823228,0.087525,0.171398,-0.128898,0.066804,-0.229544
17,0.141667,17,-0.822899,0.087197,0.171726,-0.128898,0.066804,-0.229544
18,0.150000,18,-0.822570,0.088183,0.171398,-0.127911,0.066804,-0.229544
19,0.158333,19,-0.822570,0.089499,0.171398,-0.128569,0.067462,-0.228886
20,0.166667,20,-0.822899,0.087197,0.171398,-0.127911,0.067462,-0.229544
21,0.175000,21,-0.823556,0.089170,0.172055,-0.129227,0.066804,-0.229544
22,0.183333,22,-0.822899,0.088183,0.172055,-0.129884,0.066475,-0.230202
23,0.191667,23,-0.822570,0.087854,0.171398,-0.129555,0.067462,-0.230531
24,0.200000,24,-0.823228,0.085881,0.171398,-0.129884,0.067133,-0.230860
25,0.208333,25,-0.823228,0.086868,0.172055,-0.129555,0.067462,-0.230531
26,0.216667,26,-0.823228,0.086539,0.172055,-0.129555,0.067133,-0.230202
27,0.225000,27,-0.822899,0.086210,0.171398,-0.128898,0.066475,-0.229544
28,0.233333,28,-0.822899,0.087525,0.171398,-0.127582,0.067462,-0.229544
29,0.241667,29,-0.823228,0.087854,0.171726,-0.128569,0.066475,-0.229544
30,0.250000,30,-0.822899,0.088841,0.172055,-0.128569,0.066475,-0.229544
31,0.258333,31,-0.823556,0.088841,0.171726,-0.128569,0.066804,-0.230202
32,0.266667,32,-0.823228,0.087854,0.171398,-0.128898,0.067462,-0.229873
33,0.275000,33,-0.822570,0.087197,0.171069,-0.129227,0.067133,-0.230202
34,0.283333,34,-0.822570,0.087525,0.172055,-0.130213,0.066475,-0.230860
35,0.291667,35,-0.822899,0.087197,0.171726,-0.129884,0.066475,-0.230531
36,0.300000,36,-0.823228,0.087854,0.171726,-0.128898,0.068120,-0.229873
37,0.308333,37,-0.822899,0.088183,0.171726,-0.128569,0.067462,-0.229215
38,0.316667,38,-0.822899,0.087854,0.172055,-0.127911,0.066804,-0.230531
39,0.325000,39,-0.822570,0.087525,0.172055,-0.128569,0.066804,-0.229544
40,0.333333,40,-0.823885,0.087525,0.171726,-0.127911,0.067462,-0.229544
41,0.341667,41,-0.823228,0.087525,0.171726,-0.128240,0.067133,-0.229873
42,0.350000,42,-0.822899,0.087197,0.172055,-0.128240,0.066804,-0.229873
43,0.358333,43,-0.822570,0.086539,0.172384,-0.128569,0.066475,-0.230202
44,0.366667,44,-0.823556,0.087197,0.172384,-0.129227,0.066475,-0.230202
45,0.375000,45,-0.823556,0.087525,0.171069,-0.129555,0.066804,-0.230531
46,0.383333,46,-0.823228,0.086868,0.171398,-0.128898,0.066475,-0.230531
47,0.391667,47,-0.822899,0.088512,0.172055,-0.128569,0.066804,-0.229544
48,0.400000,48,-0.822899,0.088512,0.171726,-0.128569,0.066804,-0.229544
49,0.408333,49,-0.823228,0.087854,0.171398,-0.128240,0.067133,-0.229215
50,0.416667,50,-0.822899,0.089170,0.171726,-0.128569,0.066804,-0.229873
51,0.425000,51,-0.822899,0.089170,0.172055,-0.128569,0.067133,-0.229873
52,0.433333,52,-0.823556,0.088841,0.171726,-0.129227,0.067133,-0.230202
53,0.441667,53,-0.822899,0.086539,0.172055,-0.129227,0.067462,-0.230202
54,0.450000,54,-0.822570,0.087525,0.171726,-0.129227,0.066804,-0.230531
55,0.458333,55,-0.822570,0.088512,0.172055,-0.129227,0.066804,-0.230531
56,0.466667,56,-0.823556,0.091472,0.172384,-0.129227,0.066804,-0.230202
57,0.475000,57,-0.823556,0.088512,0.172055,-0.129227,0.068120,-0.229544
58,0.483333,58,-0.823885,0.087197,0.172055,-0.128569,0.067133,-0.229873
59,0.491667,59,-0.822570,0.088841,0.171726,-0.128569,0.066146,-0.230202
60,0.500000,60,-0.822570,0.087525,0.171398,-0.128898,0.066475,-0.229544
61,0.508333,61,-0.822899,0.087854,0.172055,-0.128569,0.067133,-0.229544
62,0.516667,62,-0.824214,0.088183,0.172055,-0.128898,0.067133,-0.229873
63,0.525000,63,-0.823556,0.086539,0.171726,-0.129227,0.066475,-0.230202
64,0.533333,64,-0.822570,0.086210,0.172384,-0.128898,0.066475,-0.230531
65,0.541667,65,-0.822241,0.085223,0.171726,-0.129227,0.066475,-0.231189
66,0.550000,66,-0.823228,0.087197,0.171726,-0.129227,0.066804,-0.230202
67,0.558333,67,-0.823228,0.087525,0.171398,-0.128898,0.067133,-0.230531
68,0.566667,68,-0.823228,0.086868,0.172713,-0.128240,0.066804,-0.229873
69,0.575000,69,-0.822899,0.089828,0.172055,-0.127911,0.066475,-0.229544
70,0.583333,70,-0.823556,0.087854,0.171726,-0.128240,0.067133,-0.229544
71,0.591667,71,-0.823228,0.089170,0.171398,-0.128240,0.067133,-0.229215
72,0.600000,72,-0.822570,0.088512,0.171398,-0.128569,0.067133,-0.230202
73,0.608333,73,-0.822899,0.086868,0.171398,-0.129227,0.066804,-0.230531
74,0.616667,74,-0.823885,0.087525,0.172384,-0.128898,0.067133,-0.229873
75,0.625000,75,-0.823885,0.086539,0.171069,-0.129555,0.067791,-0.230860
76,0.633333,76,-0.823228,0.087525,0.171726,-0.129227,0.066804,-0.230531
77,0.641667,77,-0.822570,0.087854,0.172055,-0.128898,0.066146,-0.229544
78,0.650000,78,-0.822570,0.088512,0.171726,-0.128898,0.066804,-0.229873
79,0.658333,79,-0.823556,0.087854,0.171398,-0.128240,0.067462,-0.229215
80,0.666667,80,-0.824214,0.086539,0.172055,-0.128240,0.067133,-0.229544
81,0.675000,81,-0.823556,0.088183,0.172713,-0.128898,0.066475,-0.229873
82,0.683333,82,-0.823228,0.088183,0.172055,-0.128240,0.066475,-0.230202
83,0.691667,83,-0.823228,0.087854,0.171726,-0.128240,0.066804,-0.230202
84,0.700000,84,-0.823228,0.084565,0.171726,-0.129227,0.066804,-0.230531
85,0.708333,85,-0.823885,0.086210,0.172055,-0.129555,0.066475,-0.230531
86,0.716667,86,-0.823556,0.087525,0.172713,-0.129555,0.066804,-0.230531
87,0.725000,87,-0.823556,0.087197,0.172055,-0.128898,0.067133,-0.230531
88,0.733333,88,-0.823556,0.088512,0.171398,-0.128898,0.066804,-0.229544
89,0.741667,89,-0.822899,0.087854,0.171726,-0.128898,0.066804,-0.229873
90,0.750000,90,-0.822899,0.088183,0.172055,-0.128569,0.066804,-0.229544
91,0.758333,91,-0.823228,0.087197,0.172384,-0.128569,0.066804,-0.229544
92,0.766667,92,-0.822899,0.087854,0.171398,-0.128898,0.067462,-0.229873
93,0.775000,93,-0.823228,0.088841,0.172384,-0.128569,0.067133,-0.229544
94,0.783333,94,-0.823228,0.086868,0.172384,-0.128898,0.066146,-0.230531
95,0.791667,95,-0.822899,0.087197,0.172055,-0.129555,0.066804,-0.230202
96,0.800000,96,-0.822570,0.087197,0.171726,-0.129227,0.067133,-0.230531
97,0.808333,97,-0.822899,0.087525,0.172055,-0.129227,0.066804,-0.230860
98,0.816667,98,-0.823885,0.086539,0.172055,-0.128569,0.066475,-0.230860
99,0.825000,99,-0.823885,0.086210,0.172384,-0.128569,0.067133,-0.229873
100,0.833333,100,-0.823885,0.087854,0.171726,-0.128569,0.066804,-0.229215
101,0.841667,101,-0.823228,0.089499,0.171726,-0.128569,0.066475,-0.229544
102,0.850000,102,-0.822241,0.089499,0.172713,-0.128240,0.066475,-0.229544
103,0.858333,103,-0.823228,0.088841,0.171726,-0.128569,0.066804,-0.229215
104,0.866667,104,-0.823556,0.087854,0.172055,-0.128569,0.066475,-0.229873
105,0.875000,105,-0.823228,0.088841,0.171726,-0.129227,0.066804,-0.230202
106,0.883333,106,-0.823228,0.087197,0.172055,-0.128898,0.066475,-0.230202
107,0.891667,107,-0.822899,0.087197,0.172055,-0.128898,0.066804,-0.230531
108,0.900000,108,-0.822899,0.088183,0.171726,-0.129227,0.067133,-0.229873
109,0.908333,109,-0.823228,0.088841,0.171726,-0.128569,0.066804,-0.230202
110,0.916667,110,-0.823556,0.087525,0.172384,-0.128569,0.067462,-0.229544
111,0.925000,111,-0.823556,0.086868,0.172384,-0.128240,0.066804,-0.229215
112,0.933333,112,-0.823885,0.087854,0.172384,-0.128569,0.067133,-0.229873
113,0.941667,113,-0.823885,0.087854,0.171726,-0.129227,0.067133,-0.230202
114,0.950000,114,-0.822899,0.087197,0.172055,-0.128569,0.066475,-0.229215
115,0.958333,115,-0.822241,0.087197,0.172055,-0.128898,0.066475,-0.229873
116,0.966667,116,-0.822899,0.087197,0.171726,-0.129227,0.066475,-0.230531
117,0.975000,117,-0.823556,0.088512,0.171726,-0.128569,0.067133,-0.230202
118,0.983333,118,-0.823885,0.086539,0.172384,-0.128898,0.067133,-0.229873
119,0.991667,119,-0.822899,0.088183,0.172055,-0.128569,0.066475,-0.229873
120,1.000000,120,-0.822899,0.087197,0.172055,-0.128240,0.066146,-0.230202
121,1.008333,121,-0.822899,0.088183,0.171398,-0.128898,0.066475,-0.229873
122,1.016667,122,-0.824214,0.088841,0.172384,-0.128898,0.066804,-0.229873
123,1.025000,123,-0.823885,0.087854,0.172713,-0.128898,0.067462,-0.229873
124,1.033333,124,-0.823556,0.087854,0.172384,-0.128569,0.067133,-0.230531
125,1.041667,125,-0.823228,0.085881,0.172055,-0.129227,0.066804,-0.230531
126,1.050000,126,-0.823556,0.086210,0.172055,-0.129555,0.066804,-0.230202
127,1.058333,127,-0.823556,0.086868,0.172055,-0.129227,0.066475,-0.229873
128,1.066667,128,-0.822899,0.087525,0.172055,-0.128240,0.067133,-0.229873
129,1.075000,129,-0.823228,0.089499,0.172055,-0.127911,0.067133,-0.229215
130,1.083333,130,-0.822899,0.088841,0.171726,-0.128569,0.066804,-0.229215
131,1.091667,131,-0.823556,0.087854,0.172055,-0.128569,0.066804,-0.229873
132,1.100000,132,-0.823885,0.087197,0.172055,-0.128240,0.067133,-0.229544
133,1.108333,133,-0.822899,0.086210,0.172055,-0.129227,0.067133,-0.230202
134,1.116667,134,-0.823228,0.087197,0.171398,-0.128898,0.066804,-0.231189
135,1.125000,135,-0.822899,0.086539,0.172055,-0.129884,0.067133,-0.230531
136,1.133333,136,-0.823885,0.086868,0.172055,-0.128898,0.066804,-0.230860
137,1.141667,137,-0.823885,0.085881,0.172055,-0.129227,0.067462,-0.230202
138,1.150000,138,-0.823885,0.087197,0.172055,-0.128898,0.066804,-0.229544
139,1.158333,139,-0.822570,0.086539,0.172384,-0.128240,0.067133,-0.229215
140,1.166667,140,-0.822899,0.086539,0.172055,-0.128240,0.066804,-0.229215
141,1.175000,141,-0.823885,0.087525,0.172384,-0.127911,0.067133,-0.229544
142,1.183333,142,-0.823556,0.087197,0.172055,-0.128569,0.066804,-0.229215
143,1.191667,143,-0.823228,0.087854,0.172384,-0.129227,0.067133,-0.229873
144,1.200000,144,-0.823228,0.087525,0.171726,-0.128898,0.066475,-0.230202
145,1.208333,145,-0.822241,0.086539,0.172384,-0.129227,0.066804,-0.229873
146,1.216667,146,-0.822570,0.086539,0.171726,-0.129227,0.066475,-0.230531
147,1.225000,147,-0.823228,0.087197,0.172055,-0.129227,0.066804,-0.230531
148,1.233333,148,-0.824214,0.087854,0.172055,-0.128569,0.067133,-0.230202
149,1.241667,149,-0.822899,0.087197,0.172384,-0.128240,0.066804,-0.229873
150,1.250000,150,-0.822570,0.088183,0.172055,-0.128898,0.066475,-0.229544
151,1.258333,151,-0.822570,0.089170,0.172055,-0.128240,0.066804,-0.229544
152,1.266667,152,-0.823228,0.086868,0.172055,-0.127911,0.066804,-0.229544
153,1.275000,153,-0.823556,0.087854,0.172055,-0.128898,0.067462,-0.229544
154,1.283333,154,-0.823885,0.086539,0.171726,-0.128898,0.067133,-0.229873
155,1.291667,155,-0.822899,0.087197,0.172713,-0.129555,0.067133,-0.230202
156,1.300000,156,-0.822570,0.087854,0.171398,-0.128898,0.067133,-0.230531
157,1.308333,157,-0.822899,0.087197,0.171398,-0.129884,0.066475,-0.230531
158,1.316667,158,-0.822899,0.087525,0.171726,-0.128898,0.066804,-0.229873
159,1.325000,159,-0.823228,0.087197,0.171398,-0.129227,0.067133,-0.230202
160,1.333333,160,-0.823228,0.088512,0.171726,-0.128240,0.066804,-0.229873
161,1.341667,161,-0.822899,0.087854,0.171398,-0.127582,0.067133,-0.229215
