Format Version,1.23,Take Name,MS024MPT009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-29 05.42.21.377 PM,Total Frames in Take,30551,Total Exported Frames,30551,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ConcordeS,ConcordeS
,ID,"D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F","D4794718C63111ECB7ECD18E5C9C329F"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.678731,-1.857199,-12.941956,-0.141704,0.242673,-0.003343
1,0.008333,-0.632070,-1.831174,-12.900693,-0.141660,0.242581,-0.003304
2,0.016667,-0.626022,-1.841429,-12.848516,-0.141670,0.242581,-0.003331
3,0.025000,-0.681026,-1.856600,-12.940132,-0.141701,0.242675,-0.003342
4,0.033333,-0.634318,-1.850320,-12.894335,-0.141674,0.242588,-0.003338
5,0.041667,-0.634197,-1.824069,-12.892201,-0.141627,0.242575,-0.003298
6,0.050000,-0.621015,-1.833677,-12.857046,-0.141609,0.242586,-0.003304
7,0.058333,-0.632302,-1.849243,-12.862314,-0.141620,0.242601,-0.003337
8,0.066667,-0.629787,-1.848948,-12.900084,-0.141663,0.242585,-0.003325
9,0.075000,-0.630715,-1.848361,-12.906867,-0.141680,0.242595,-0.003329
10,0.083333,-0.630303,-1.838070,-12.856554,-0.141657,0.242597,-0.003341
11,0.091667,-0.674483,-1.860162,-12.951226,-0.141723,0.242693,-0.003341
12,0.100000,-0.624915,-1.817531,-12.843508,-0.141628,0.242581,-0.003316
13,0.108333,-0.632508,-1.840223,-12.862444,-0.141658,0.242599,-0.003341
14,0.116667,-0.622732,-1.824325,-12.844234,-0.141646,0.242583,-0.003310
15,0.125000,-0.691328,-1.837344,-12.876945,-0.141695,0.242631,-0.003368
